Name,Type,Climate,Terrain,Frequency,Organization,Activity Cycle,Diet,Intelligence,% in Lair,Treasure,Alignment,No. Appearing,AC,Movement,HD,Thac0,No. Attacks,Damage,Special Attack,Special Defence,MR,Size,Morale,Psionic Ability,A/D Modees,Level,XP,Source,Edition
Weapon - Living,Monster,Any,Subterranean,Rare,Solitary,Any,Hemativore (Blood),Low (5-7),N/A,Nil,CE,1,-1,Fl 18,6,15,2,By weapon +4,Nil,+1 to hit,20%,M (5'),13-14,Nil,Nil,N/A,2000,TSR 9334 - DLS4 - Wild Elves,2e
Weasel,Animal,N/A,N/A,Uncommon,N/A,N/A,N/A,Animal (1),0%,Nil,N,1-2,6,15,1/4,N/A,1,1,Nil,Nil,Standard,S,N/A,Nil,Nil,I,2+1,TSR 2016 - Monster Manual II (First Edition),1e
Weasel - Giant,Animal,N/A,N/A,Rare,N/A,N/A,N/A,Animal (1),15%,Nil,N,1-8,6,15,3+3,N/A,1,2-12,Drain blood,Nil,Standard,M,N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Web - Living,Monster,Any,Subterranean and Ruins,Very Rare,Pack,Any,Carnivore,Semi (2-4),N/A,Nil,N,1-8,9,6,1/2 to 6,19 to 15,1,Special,Lightning,Special,Nil,S (1-7'),9-10,Nil,Nil,N/A,650 to 2000,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Web - Memory,Monster,N/A,N/A,Very Rare,N/A,N/A,N/A,Very (11-12),0%,Nil,N,1,2,"3, Jp 18",6,N/A,1,1-6,Nil,Non-magical weapons deal 1/2 damage,Standard,Varies,N/A,Nil,Nil,IV,110+4,TSR 9120 - UK4 - When a Star Falls,1e
Web - Memory,Monster,Any,Subterranean and Ruins,Very Rare,Solitary,Any,Carnivore,Very (11-12),N/A,Nil,N,1,2,"3, Jp 18",6,15,1,1-6,Nil,Half damage from non-magical weapons and fire,Nil,Special,13-14,Nil,Nil,N/A,3000,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Webbird,Magical Beast,Temperate and Subtropical,N/A,Very Rare,N/A,N/A,N/A,Semi (2-4),0%,Nil,N,12-48,8,"3, Fl 18",1/2,N/A,1,1,Webs; Egg insertion,Nil,Standard,S,N/A,Nil,Nil,I,7+1,TSR 2016 - Monster Manual II (First Edition),1e
Webbird,Monster,N/A,Forests and Subterranean,Very Rare,Flock,Day,Carnivore,Semi (2-4),N/A,Nil,N,12-48,8,"3, Fl 18 (B)",1/2,20,1,1,Webs; Egg insertion,Nil,Nil,"S (5"")",5-7,Nil,Nil,N/A,65,"TSR 2158 - Monstrous Compendium Annual, Volume Two",2e
Web-Spectre,Undead,Temperate to Tropical,Any,Very Rare,Solitary,Night,Nil,Very (11-12),N/A,U,NE,1,8,12,6,15,2 or 1,1-4(x2) or special,Spiders; Surprise on 1-8 (on d10); Spells,Teleport; Spell immunities; Spells; Regeneration,Special,M,13-14,Nil,Nil,N/A,1400,Dragon252,2e
Weed Giant,Plant,N/A,N/A,Rare,N/A,N/A,N/A,Semi (2-4),0%,Incidental,N,1,5,Sw 6,8,N/A,1,2-16,Buffeting,Hidden vulnerable part; Weapon resistance,Standard,L (12'),N/A,Nil,Nil,VI,725+10,Dragon116,1e
Wemic,Monstrous Humanoid,N/A,N/A,Very Rare,N/A,N/A,N/A,Average (8-10),50%,B,N,2-16,6 (5),12,5+8,N/A,3,1-4(x2)/by weapon,Nil,Surprised only on 1,Standard,L (7'),N/A,Nil,Nil,IV,200+7,TSR 2016 - Monster Manual II (First Edition),1e
Wemic,Monstrous Humanoid,Temperate,Plains,Very Rare,Pride,Day,Carnivore,Average (8-10),N/A,B,N,2-16,"6, Females 7",12,5+8,15,2 or 3,1-4(x2) and by weapon,Nil,-2 initiative modifier,Nil,L (7'),11-12,Nil,Nil,N/A,270 to 975,TSR 2140 - Monstrous Manual (Second Edition),2e
Wendigo,Humanoid,N/A,N/A,Very Rare,N/A,N/A,N/A,As base creature,0%,Nil,NE,1,5,12,6,N/A,2,1-4/by weapon,Roar,Nil,Standard,M (6'),N/A,Nil,Nil,V,275+6,Dragon119,1e
Weredragon,Dragon,N/A,Urban,Very Rare,Solitary,Any,Special,Exceptional (15-16),N/A,Special,C (N or G),1,1 (base),"9, Fl 30 (C), Jp 3",13 (base),9,3 or 1,1-6(x2)/4-24 or by weapon,Special,Special,Special,M or H (24'),17,Nil,Nil,N/A,1400 to 18000,"TSR 2166 - Monstrous Compendium Annual, Volume Three",2e
Wezer - Brood Queen,Vermin,Any,Tablelands,Rare,Solitary,Any,Omnivore,Animal (1),N/A,W,N,1,4,6,5,15,2,1-6(x2),Egg implant,Nil,Nil,M (7'),11-12,Nil,Nil,N/A,270,TSR 2400 - Dark Sun Boxed Set,2e
Wezer - Solider,Vermin,Any,Tablelands,Rare,Brood,Any,Omnivore,Animal (1),N/A,Nil,N,Special,7,6,2,18,2,1-4(x2),Poison,Nil,Nil,M (6'),11-12,Nil,Nil,N/A,120,TSR 2400 - Dark Sun Boxed Set,2e
Wezer - Worker/Water Fetcher,Vermin,Any,Tablelands,Rare,Brood,Any,Omnivore,Animal (1),N/A,Nil,N,10-200,7,6,2,18,1,1-4,Nil,Nil,Nil,M (6'),11-12,Nil,Nil,N/A,65,TSR 2400 - Dark Sun Boxed Set,2e
Whale,Animal,N/A,N/A,Common,N/A,N/A,N/A,Low (5-7),0%,Nil,N,1-8,4,Sw 18-24,12 to 36,N/A,1,5-20 to 15-60 or 1-8 to 5-40,Tail spikes,Nil,Standard,L,N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Whale - Common,Animal,Any,Oceans,Common,Pod,Any,Plankton,Low (5-7),N/A,Nil,N,1-8,4,Sw 18,12 to 36,9 to 5,1,Varies,Tail,Nil,Nil,G,15,Nil,Nil,N/A,2000 + 1000 per HD,TSR 2140 - Monstrous Manual (Second Edition),2e
Whale - Giant,Animal,Any,Oceans,Very Rare,Pair,Any,Omnivore,Average (8-10),N/A,Special,N,1-2,3,Sw 18,18 to 54,5,1,Varies,Special,Nil,Nil,G,15,Nil,Nil,N/A,8000 + 1000 per HD,TSR 2140 - Monstrous Manual (Second Edition),2e
Whale - Killer,Animal,Any,Oceans,Common,Pod,Any,Carnivore,Average (8-10),N/A,Nil,N,5-40,4,Sw 30,9 to 12,11 to 9,1,5-20,Special,Nil,Nil,H-G,14,Nil,Nil,N/A,975 to 2000,TSR 2140 - Monstrous Manual (Second Edition),2e
Whale - Leviathan,Magical Beast,Any,Oceans,Unique,Solitary,Day,Carnivore,Low (5-7),80%,Nil,N,1,4,Sw 24,48 (250 hp),1,2,6-60/1-100,Tail,Nil,30%,L (360'),N/A,Nil,Nil,Nil,???,TSR 9217 - FR2 - Moonshae,1e
Whale - Leviathan,Magical Beast,Any,Oceans,Very Rare,Solitary,Any,Omnivore,Exceptional (15-16),N/A,Special,N,1,1,Sw 18,36 to 72,5,1,Varies,Special,Nil,Nil,G,15,Nil,Nil,N/A,26000 + 1000 per HD,TSR 2140 - Monstrous Manual (Second Edition),2e
Whale - Narwhal,Animal,Any,Oceans,Rare,Pod,Any,Fish,Animal (1),N/A,Nil,N,1-6,6,Sw 21,4+4 to 6+6,15 to 13,1,2-24,Nil,Nil,Nil,H-G,12,Nil,Nil,N/A,175 to 420,TSR 2140 - Monstrous Manual (Second Edition),2e
Whipsting,Monster,Any,"Rocky, Subterranean",Uncommon,Solitary or Small packs,Any,"Carnivore, Scavenger",Animal to High (1-12),N/A,Nil,N,1-6,7,"9, Fl 9 (D)",1+4,19 (15 if springing),3,1-2/1(x2),Venom,Nil,Nil,S-L (5-20'),11-12,Nil,Nil,N/A,175,"TSR 2145 - Monstrous Compendium Annual, Volume One",2e
Whipweed,Monster,N/A,N/A,Uncommon,N/A,N/A,N/A,Semi (2-4),50%,Nil,N,1-2,6 (4),3,2+4 (base: 1+4),N/A,2,1-10(x2),Special,Nil,Standard,Varies,N/A,Nil,Nil,III,120+4,TSR 2012 - Fiend Folio (First Edition),1e
Whirling Dervish,Monstrous Humanoid,N/A,Deserts,Rare,N/A,N/A,N/A,Low (5-7),0%,Nil,N,1,5,"18, Br 9",5+5,N/A,1,2-8,Surprise on 1-5,Nil,Standard,S (4'),N/A,Nil,Nil,IV,225+6,Polyhedron029,1e
White Fang,Dragon,Arctic,Any,Rare,Solitary,Any,Carnivore,Semi (2-4),N/A,Nil,N,1-3,4,"18, Br 9, Sw 12",6,15,2,2-12(x2),Poison,Camouflage,Nil,H (15-20'),16,Nil,Nil,N/A,975,"TSR 2501 - Monstrous Compendium, Mystara Appendix",2e
Wichtlin,Undead,Any,Any,Very Rare,Solitary,Any,Nil,Semi (2-4),N/A,Nil,CE,1,2,9,4+4,15,2,Special,Special,+1 to hit,Special,M (5'),12,Nil,Nil,N/A,1400,"TSR 2105 - Monstrous Compendium, Dragonlance",2e
Widow - Red,Humanoid,Temperate,Land,Very Rare,Solitary,Any,Hemativore (Blood),High (13-14),N/A,W (Z),NE,1,4,"9, Wb 12",6+3,13,1,1-3,Poisonous bite; Webbing,Nil,Nil,M (5-6'),8-10,Nil,Nil,N/A,3000,"TSR 2162 - Monstrous Compendium, Ravenloft Appendix I & II",2e
Wiggle (Hurwaet) ,Monstrous Humanoid,Space,Any,Very Rare,Tribe/Ship,Any,Omnivore,Very (11-12),N/A,"M,Q",N,1-6,4 (5),"9, Sw 12",3,17,1,1-8 (by weapon),Nil,Fog cloud,Nil,M (6.5'),14,Nil,Nil,N/A,120,"TSR 2109 - Monstrous Compendium, Spelljammer Appendix",2e
Wiggle (Hurwaet) - Salt,Monstrous Humanoid,Temperate and Subtropical,Ocean Coasts,Very Rare,Tribe,Night,Omnivore,Average (8-10),N/A,Z,LE,1-8,2,"6, Sw 24",12,9,3,1-4(x2)/9-16,Rending,Fog cloud,Nil,L (9'),15,Nil,Nil,N/A,2000,"TSR 2109 - Monstrous Compendium, Spelljammer Appendix",2e
Wiggle (Hurwaet) - Swamp,Monstrous Humanoid,Temperate and Subtropical,"Swamps, Bogs, and Marshes",Very Rare,Tribe,Night,Omnivore,Average (8-10),N/A,D,N,8-15,4 (5),"9, Sw 18",4+1,17,2,2-8/2-7 or 2-7(x2),Nil,Fog cloud,Nil,M (7'),15,Nil,Nil,N/A,175,"TSR 2109 - Monstrous Compendium, Spelljammer Appendix",2e
Wight,Undead,Any,N/A,Uncommon,N/A,N/A,N/A,Average (8-10),70%,B,LE,2-16,5,12,4+3,N/A,1,1-4,Energy drain,+1 or silver to hit,Special,M,N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Wight,Undead,N/A,Land,Uncommon,Solitary,Night,Special,Average (8-10),N/A,B,LE,2-16,5,12,4+3,15,1,1-4,Energy drain,Silver or +1 to hit,Special,M (4-7'),14,Nil,Nil,N/A,1400,TSR 2140 - Monstrous Manual (Second Edition),2e
Wight - Barrier (Myth),Undead,Any,Any,Very Rare,Solitary,Any,Nil,Animal (1),N/A,Nil,N,1-3,9,6,1/8,Nil,1,3-24,Poison; Paralysis; Self destruction,Nil,Special,M (5-6'),17-18,Nil,Nil,N/A,120,Dragon261,2e
Wight - Chaos - Frost,Undead,Arctic,Any,Very Rare,"Pack or ""Cloud""",Any,Nil,Average (10),N/A,Hx5,CE,2-8,4,"12, Fl 18 (B)",6,15,1,1-6,Nullify,+1 or blessed weapons to hit,10%,M (6'),18,Nil,Nil,N/A,4000,Dragon246,2e
Wight - Chaos - Shadow,Undead,Any,Any,Very Rare,"Pack or ""Cloud""",Any,Nil,Average (10),N/A,Nil,CE,2-8,4,"12, Fl 24 (B)",6,15,1,Nil,Nullify,+1 or blessed weapons to hit,10%,M (6'),18,Nil,Nil,N/A,4000,Dragon246,2e
Wight - King-wight,Undead,Any,Subterranean,Very Rare,Solitary,Night,Living Beings,Exceptional (15),N/A,50% A,LE,1,-1,12,12+23 (77 hp),4,3/2 or 1,6-13,Energy drain; Wight control; Spellcasting; Earthquake; Magical items,Immune to some weapons and spells,Nil,M (6-7'),20,Nil,Nil,N/A,30000,Dragon198,2e
Wight - Wailing,Undead,Any,Land,Rare,Solitary,Night,Special,Average (9),N/A,B,LE,1,0,12,8+6,12,1,1-6,Energy dragin; Scream,"+2 to hit; Immune to charm, hold, sleep, death magics; Turn as special",Special,M (6'),14,Nil,Nil,N/A,3000,Dragon249,2e
Wight - Winter,Undead,City of Moil,Any,Uncommon,Solitary,Any,Nil,Average (8-10),N/A,Nil,CE,1,0,9,16,5,2,5-20(x2),Blackfire,Regeneration; Half damage from physical attacks,30%,M (6'),20,Nil,Nil,N/A,14000,TSR 1162 - Return to the Tomb of Horrors,2e
Wild Hunt,Monster,Any,Shadow World,Very Rare,Unique,Any,Nil,Low (6),N/A,Nil,CN,1 (200 members),2,24,50,5,20,1-6,Trample,"Immune to illusions, slow, walls",10%,G (150'),19-20,Nil,Nil,N/A,46000,TSR 3140 - Blood Spawn,2e
Will O'dawn,Monster,Ravenloft,Any,Very Rare,Solitary,Dawn,Special,Exceptional (15-16),N/A,Nil,CG,1 (1-2),-6,Fl 18 (A),6,15,One spell,Nil,Color Spray; Hypnotic pattern,Spell immunity; Invisibility,Nil,T (1-2'),15-16,Nil,Nil,N/A,1400,"TSR 2153 - Monstrous Compendium, Ravenloft Appendix III",2e
Will O'deep,Monster,Any,Subterranean,Rare,Clan,Night,Special,High (13-14),N/A,W,NE,1-4,0,Fl 12 (A),5,15,4,1-4(x4),Burning sparks,Spell immunity; Invisibility,Nil,T (1'),15-16,Nil,Nil,N/A,1000,"TSR 2153 - Monstrous Compendium, Ravenloft Appendix III",2e
Will O'mist,Monster,Ravenloft,Any,Rare,Solitary,Night,Special,High (13-14),N/A,Z,CN,1,-6,Fl 18 (A),7,13,1,2-16,Electric Burst,Spell immunity; Invisibility,Special,S (2-4'),15-16,Nil,Nil,N/A,2000,"TSR 2153 - Monstrous Compendium, Ravenloft Appendix III",2e
Will O'sea,Monster,Ravenloft,Sea of Sorrows,Rare,Solitary,Night,Special,Very (11-12),N/A,E,NE,1,-4,Fl 18 (A),10,11,1,10-60,Lightning bolt,Spell immunity,Nil,H (12-20'),17-18,Nil,Nil,N/A,6000,"TSR 2153 - Monstrous Compendium, Ravenloft Appendix III",2e
Will o'Shadows,Monster,Any,Shadow World,Rare,Solitary,Night,Life Energy,High (13-14),N/A,Q,CN,1-3,-8,Fl 18 (A),9,11,1,2-16,Life drain,Immune to most magical attacks,Special,T-S (1-4'),15-16,Nil,Nil,N/A,6000,TSR 3140 - Blood Spawn,2e
Will o'wisp,Monster,Any,Swamps,Uncommon,Solitary,Night,Special,Exceptional (15-16),N/A,Z,CE,1 (1-3),-8,Fl 18 (A),9,11,1,2-16,Nil,Special,Special,S (2-4'),17,Nil,Nil,N/A,3000,TSR 2140 - Monstrous Manual (Second Edition),2e
Willow - Black,Plant,N/A,N/A,Very Rare,N/A,N/A,N/A,Low to Very (5-12),100%,Special,N(E),1,2,1/4,12 to 19,N/A,7 to 12,1-4 each,Special,Special,Standard,L (6-9'),N/A,Nil,Nil,VIII,2400+20,TSR 2016 - Monster Manual II (First Edition),1e
Will-O-Wisp,Monster,N/A,N/A,Uncommon,N/A,N/A,N/A,Exceptional (15-16),5%,Z,CE,1 (1-3),-8,Fl 18,9,N/A,1,2-16,Special,Special,Special,S,N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Wind Thrower,Humanoid,N/A,N/A,Very Rare,N/A,N/A,N/A,Very (11-12),33%,"M,Qx3,Y",NE,3-24,7 (3),9,5+3,N/A,1,By weapon +strength,Wild blast; Psionics; Possible missle fire,Immune to poison,Save as 8HD monster,S (4'),N/A,180,AD/H,V,450+6,Dragon101,1e
Wind Walker,Outsider,N/A,N/A,Rare,N/A,N/A,N/A,Very (11-12),20%,"C,R",N,1-3,7,"15, Fl 30",6+3,N/A,Special,3-18,Special,Special,Special,L,N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Windghost,Outsider,Any,Air,Very Rare,Servant Group,Any,Omnivore,Exceptional (15-16),N/A,Nil,LN,1-12,-2,Fl 18 (B),9+9,11,1 plus special,3-12,Windsong; Swoop; Swallow whole,Warp dweomer,45%,H (24'),19-20,Nil,Nil,N/A,12000,"TSR 2145 - Monstrous Compendium Annual, Volume One",2e
Windigo,Outsider,Plane of Air,Remote areas,Very Rare,Solitary,Any,Special,Very (11-12),N/A,Nil,CE,1,0 to 5,"12, Fl 24 (A)",7,13,2,3-8(x2),Searing wind gust,+1 to hit,Special,L (7'),11-12,Nil,Nil,N/A,5000,Dungeon077,2e
Winged Folk (Al Karak Elam),Humanoid,N/A,N/A,Uncommon,N/A,N/A,N/A,Very to Genius (11-18),10%,"N (G,S,T)",N to CG,10-100 (100-1000),7 (or better),"12, Fl 18",1+1,N/A,1,1-10 or by weapon,+1 to hit with bow or javelin,Surprised only on 1,Standard,M (5-6'),N/A,Nil,Nil,???,???,Dragon051,1e
Winged Gaunt,Monstrous Humanoid,N/A,N/A,Rare,N/A,N/A,N/A,Low (5-7),0%,Nil,CE,1-2,-2,"12, Fl 24",10,N/A,2,1-10(x2),Nil,Nil,50%,L (15'),N/A,Nil,Nil,???,???,TSR 9124 - CB2 - Conan Against Darkness,1e
Wingless Wonder,Magical Beast,N/A,N/A,Rare,N/A,N/A,N/A,Low (5-7),0%,Special,N,1-2,8,6,2+2,N/A,9 (12),1 per attack,Nil,Special,Immune to all magic,S (4'),N/A,Special,Special,???,???,Dragon040,1e
Wingless Wonder,Monster,Non-Arctic,Any,Rare,Solitary or Pair,Any,Omnivore,Low (5-7),N/A,Qx2,N,1-2,8,6,2+2,19,9,1(x8)/4-16,Dying Scream,Antimagic shell; Immune to fire and heat,44%,S (4'),20,Nil,Nil,N/A,650,TSR 11430 - FOR13 - Secrets of the Magister,2e
Wingless Wonder - Transformed,Monster,Any,Any,Rare,Solitary,Any,Omnivore,As per dragon type,N/A,Nil,As base,1,8,"6, Sw 4",As base,17,10,2-8/1(x10),Special,Nil,90%,S (4'),As base,Nil,Nil,N/A,Varies,TSR 1083 - Menzoberranzan,2e
Wingless Wonder - True,Monster,Non-Arctic,Any,Very Rare,Solitary or Pair,Any,Omnivore,Low (5-7),N/A,Qx4,CN,1-2,8,"6, Sw 4",2+2,19,10,2-8/1(x10),Psionic blast; Wild magic,Anti-magic shell,90%,S (4'),19,Special,Special,N/A,975,TSR 1083 - Menzoberranzan,2e
Wirchler,Outsider,Gehenna,N/A,Rare,N/A,N/A,N/A,Low to Average (5-10),5%,Special,LE(N),1-10,-6,18,6+6,N/A,3,1-6(x2)/2-12,Wirching,Immune to fire and acid; Double damage from cold,Standard,S,N/A,50,B/HI,???,???,Dragon047,1e
Witchlight Marauders - Primary,Monster,Any,Any,Very Rare,Solitary,Diurnal,Omnivore,Low (5-7),N/A,Nil,CE,1-3,-5,9,15,5,7,3-18(x6)/5-60,Special,Special,Nil,G (200'),19-20,Nil,Nil,N/A,12000,"TSR 2119 - Monstrous Compendium, Spelljammer Appendix II",2e
Witchlight Marauders - Remote,Monster,Any,Any,Very Rare,Solitary,Any,Omnivore,Non (0),N/A,Nil,N,1-5,5,24,7,13,1,Special,Special,Special,Nil,G (25'),11-12,Nil,Nil,N/A,2000,"TSR 2119 - Monstrous Compendium, Spelljammer Appendix II",2e
Witchlight Marauders - Secondary,Monster,Any,Any,Very Rare,Horde,Night,Omnivore,Low (5-7),N/A,Nil,CE,2-20,0,48,8,13,"6, Spit",2-12(x6)/3-18/2-20,Special,Special,Nil,H (20'),13-14,Nil,Nil,N/A,6000,"TSR 2119 - Monstrous Compendium, Spelljammer Appendix II",2e
Witchlight Marauders - Space,Monster,Any,Any,Very Rare,Solitary,Any,Omnivore,Average (8-10),N/A,Nil,CN,1,-3,Sr 3,45,5,"7, Sunbeam",1-6(x6)/2-12/25-250,Special,Special,Nil,G (1000'),19-20,Nil,Nil,N/A,40000,"TSR 2119 - Monstrous Compendium, Spelljammer Appendix II",2e
Witchlight Marauders - Tertiary,Monster,Any,Any,Very Rare,Swarm,Any,Omnivore,Semi (2-4),N/A,Nil,NE,1-4,2,16,4,17,3,4-9(x2)/1-10,Special,Special,Nil,M (5-6'),11-12,Nil,Nil,N/A,270,"TSR 2119 - Monstrous Compendium, Spelljammer Appendix II",2e
Witherstench,Magical Beast,N/A,N/A,Rare,N/A,N/A,N/A,Semi (2-4),20%,B,N,3-12,7,6,2+2,N/A,2,1-6(x2),Nil,Special,Standard,S (4'),N/A,Nil,Nil,III,65+3,TSR 2012 - Fiend Folio (First Edition),1e
Witherweed,Plant,N/A,N/A,Uncommon,N/A,N/A,N/A,Non (0),100%,Special,N,1,8,0,3 or more,N/A,Varies,Special,Special,Nil,Standard,Varies,N/A,Nil,Nil,III to V,90+3 to 275+6,TSR 2012 - Fiend Folio (First Edition),1e
Wizshade,Monster,Any,Any,Rare,Solitary,Any,Magic and Phlogiston,Supra-genius (19-20),N/A,Nil,CN,1 (1-4),0,"12, Fl 24 (C)",10,Nil,Special,Nil,Random Wizard Spellcasting,+1 to hit; successful spells have special effect,25%; special if successful,M (5-6'),15,Nil,Nil,N/A,13000,"TSR 2173 - Monstrous Compendium Annual, Volume Four",2e
Wizshade,Monster,Any,Any,Rare,Solitary,Any,Phlogiston and Magic,Supra-genius (19-20),N/A,Nil,CN,1 (1-4),0,"12, Fl 24 (C)",10,Nil,0,0,Random magic,Special,25%,M (5'),15,Nil,Nil,N/A,13000,"TSR 2109 - Monstrous Compendium, Spelljammer Appendix",2e
Woblin,Monstrous Humanoid,N/A,N/A,Rare,N/A,N/A,N/A,13-16,70%,"K,L,M",LE,4-16,5,"8, Fl 12",1 to 4,N/A,2,Sting/By weapon,Special,Special,Nil,M,N/A,Nil,Nil,N/A,N/A,Dragon032,1e
Wolf,Animal,Non-Tropical,Land,Uncommon,Pack,Any,Carnivore,Semi (2-4),N/A,Nil,N,2-12,7,18,3,18,1,2-5,Nil,Nil,Nil,S (3-4'),10,Nil,Nil,N/A,65,TSR 2140 - Monstrous Manual (Second Edition),2e
Wolf ,Animal,N/A,N/A,Common,N/A,N/A,N/A,Semi (2-4),10%,Nil,N,2-20,7,18,2+2,N/A,1,2-5,Nil,Nil,Standard,S,N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Wolf - Astral,Outsider,Astral Plane,Any,Very Rare,Pack,Any,Carnivore,Animal (1),N/A,Nil,NE,3-12,3,18,3,17,1,2-8,Astral attack,Nil,Nil,L (4'),16,Nil,Nil,N/A,270,TSR 2137 - Lankhmar City of Adventure,2e
Wolf - Dire,Animal,Any,Forests,Rare,Pack,Any,Carnivore,Semi (2-4),N/A,Nil,N,3-12,6,18,4+4,15,1,2-8,Nil,Nil,Nil,L (7-12'),10,Nil,Nil,N/A,175,TSR 2140 - Monstrous Manual (Second Edition),2e
Wolf - Dire (Worg),Animal,N/A,N/A,Rare,N/A,N/A,N/A,Semi to Low (2-7),10%,Nil,N(E),3-12,6,18,3+3 (4+4),N/A,1,2-8,Nil,Nil,Standard,M (L),N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Wolf - Dread,Magical Beast,Any,Land,Very Rare,Pack,Any,Nil,Average (8-10),N/A,Nil,NE,3-12,6,18,4+4,15,1,1-10,Disease,Regeneration; Immunity and resistance to spells,Nil,S (2-4'),17-18,Nil,Nil,N/A,650,"TSR 2145 - Monstrous Compendium Annual, Volume One",2e
Wolf - Leader of the Pack,Magical Beast,Any,Any,Unique,Pack Leader,Any,Carnivore,Average (8-10),15%,Nil,N,1,4,24,6+6,13,1,2-12,Hamstring,Nil,20%,L,N/A,Nil,Nil,Nil,???,TSR 9217 - FR2 - Moonshae,1e
Wolf - Lycaeonorukke,Magical Beast,Any,Land,Very Rare,Solitary,Any,Carnivore,Average (8-10),N/A,Nil,NG,1,6,18,4+4,15,1,3=6,Track prey,+1 or silver to hit; Wind Walk; Save as 4th level ranger,5%,M,15,Nil,Nil,N/A,???,Dragon242,2e
Wolf - Mist,Magical Beast,Subarctic and Temperate,Non-Desert,Very Rare,Pack,Night,Carnivore,Average (8-10),N/A,Nil,LG,2-20,6,18,3+3,17,1,2-6,Nil,Breath weapon,10%,M (4'),13-14,Nil,Nil,N/A,175,"TSR 2107 - Monstrous Compendium, Greyhawk Adventures Appendix",2e
Wolf - Stone,Construct,Any,Land,Very Rare,Special,Any,Nil,Animal (1),N/A,Nil,N,1-4,0,9,5+4,15,1,2-8,Initiative bonus; Pounce,Resistance and immunity to certain spells and weapons,Nil,S (5-6'),19-20,Nil,Nil,N/A,1400,"TSR 2145 - Monstrous Compendium Annual, Volume One",2e
Wolf - Trollhound,Magical Beast,Sub-arctic to subtropical,Land,Very Rare,Pack,Night,Carnivore,Semi (2-4),N/A,Q(x1/2),CN,4-24,5,15,3+3,17,1,5-8,Lockbite; Disease,Regeneration,Nil,M,13,Nil,Nil,N/A,175 to 975,Dragon199,2e
Wolf - Vampriric,Undead,Any,Land,Very Rare,Pack,Night,Hemativore (Blood),Low (5-7),N/A,Nil,E,3-18,2,24,6+4,13,1,3-12,Cause falling; Grasping bite; High initiative,Regeneration; Immunity to certain spells and weapons,Nil,S (2-3.5'),13-14,Nil,Nil,N/A,2000,"TSR 2145 - Monstrous Compendium Annual, Volume One",2e
Wolf - Winter,Magical Beast,Arctic,N/A,Very Rare,N/A,N/A,N/A,Average (8-10),10%,I,N(E),2-8,5,18,6,N/A,1,2-8,Frost,Nil,Standard,L,N/A,Nil,Nil,N/A,N/A,TSR 2009 - Monster Manual (First Edition),1e
Wolf - Winter,Magical Beast,N/A,Land,Very Rare,Pack,Any,Carnivore,Average (8-10),N/A,I,NE,2-8,5,18,6,15,1,2-8,Frost,Nil,Nil,L (7-12'),13,Nil,Nil,N/A,975,TSR 2140 - Monstrous Manual (Second Edition),2e
Wolf - Wolvern,Magical Beast,Any,Any,Rare,Pack,Any,Carnivore,Very (11-12),N/A,Nil,N,2-8,4,14,8+1,13,3,1-4(x2)/2-8,Nil,Telepathy,Nil,S (3'),11-12,Nil,Nil,N/A,1400,TSR 9295 - Wonders of Lankhmar,2e
Wolf - Worg,Animal,Any,Forests,Rare,Pack,Any,Carnivore,Low (5-7),N/A,Nil,NE,3-12,6,18,3+3,17,1,2-8,Nil,Nil,Nil,M (4-7'),11,Nil,Nil,N/A,120,TSR 2140 - Monstrous Manual (Second Edition),2e
Wolf - Zombie,Undead,Any,Any,Very Rare,Pack,Any,Nil,Non (0),N/A,Nil,NE,2-8,6,9,2+2,19,1,2-5,Nil,Special,Nil,S (2-4'),Special,Nil,Nil,N/A,120,TSR 1088 - Castles Forlorn,2e
Wolf - Zombie,Undead,Any,Land,Very Rare,Nil,Any,Nil,Non (0),N/A,Nil,NE,2-8,6,9,2+2,19,1,2-5,Nil,Special,Nil,S (2-4'),Special,Nil,Nil,N/A,65,"TSR 2145 - Monstrous Compendium Annual, Volume One",2e
Wolf-in-Sheep's-Clothing,Plant,N/A,N/A,Very Rare,N/A,N/A,N/A,Low (5-7),0%,Nil,N,1,3/5/7,1,9,N/A,1 to 3,1-4,Special,Nil,Standard,S,N/A,Nil,Nil,VI,900+14,TSR 2016 - Monster Manual II (First Edition),1e
Wolfwere,Monstrous Humanoid,Any,N/A,Rare,N/A,N/A,N/A,High to Exceptional (13-16),35%,"B, 50% of S,T",CE,1-3,3,15,5+1,N/A,1 or 2,2-12/by weapon,Singing brings on lethargy,+1 or iron to hit,10%,M,N/A,Nil,Nil,VI,560+6,TSR 2016 - Monster Manual II (First Edition),1e
