Creature,Size,Type,Subtypes,HD,(hp),Spd,s/f/b/c,AC,t,ff,Grpl,Attack,Full Attack,Special Attacks,SLAs,Special Qualities,F,R,W,S,D,Co,I,W,Ch,Environment,frqncy,Aln,CR,Book,,,"Entries in italics are creatures whose description includes a ""x as characters"" entry and who have a level adjustment. Player's Handbook races and their variants that do not include level adjustments will be omitted from this database.",,,,,,,,,,,,,
Skittermaw,Small,Aberration,,2,13,40,c40,14,13,12,-2,Tentacle +2 (1d4+1),4 tentacles and bite +0 (1d6),"Cause panic, improved grab",,Poisonous blood,2,2,3,12,14,14,7,10,14,Underground,usually,CE,2    ,274,,,,,,,,,,,,,,,,
Skiurid,Tiny,Magical Beast,Extraplanar,1/2,2,30,c20,15,15,12,-11,Bite +6 (1d3-4),Same as Attack,Chill darkness,,"DV60, LLV, shadow jump",2,5,1,3,17,10,2,12,12,Plane of Shadow,always,NE,1/2,MM4,,,,,,,,,,,,,,,,
Skrit,Large,Vermin,,6,33,50,,21,11,19,12,Claw +7 (1d4+4),2 claws and bite +2 (1d8+2 plus poison),"Improved grab, poison",,"DV60, scent, tremorsense 60ft",6,6,2,18,15,13,-,10,7,Cold deserts,always,NN,5    ,BoK,,,,,,,,,,,,,,,,
Skulk,Medium,Humanoid,Skulk,2,9,30,,12,12,10,1,Rapier +3 (1d6) or light crossbow +3 (1d8),Same as Attack,-,,"Innate nondetection, peerless camouflage, trackless path",0,5,-1,11,14,11,11,8,6,Any land and underground,usually,CE,2    ,FF,,,,,,,,,,,,,,,,
Skulk,Medium,Undead,,2,13,30,,13,13,10,2,Scimitar +2 (1d6+1/18-20),Same as Attack,Sneak attack +3d6,,DV60,0,3,3,12,16,-,8,10,5,Any,always,NE,2    ,MT,,,,,,,,,,,,,,,,
Skulking Cyst,Small,Undead,,4,26,30,"c30, s30",19,15,15,-2,Intestine loop +7 (1d4 plus attachment),2 intestine loops,"Attach, blood drain, SLAs","CL3, 3/day - darkness; 1/day - necrotic cyst","Blindsight 60ft, DV60, inescapable craving, resistance to fire 5, +2 turn resistance",1,5,6,10,19,-,13,14,16,Any,always,CE,4    ,LM,,,,,,,,,,,,,,,,
Skull Bearer,Medium,Outsider,"Evil, Native",10,85,30,f60 (gd),19,14,15,15,Claw +16 (1d6+7),2 claws,"Eye rays, frightful presence, spells (sor10), summon flames, wounding",,"DR 15/good, DV60, FH6, immunity to cold and electricity, skull pendant, SR 18",11,11,10,21,18,19,16,16,16,Any land and underground,always,LE,12,286,,,,,,,,,,,,,,,,
Skull Lord,Medium,Undead,,12,78,20,,21,14,17,6,Bone staff +12 (1d6 plus 1d6 cold) or bone shard +10 (1d6 plus 1d6 cold),Bone staff +12/+7 (1d6 plus 1d6 cold); or bone staff +10/+10/+5 (1d6 plus 1d6 cold); or bone shard +10 (1d6 plus 1d6 cold),"Bone staff, triple skulls (bone beckon, bone shard, create servitor)",,"Create spectral rider, DR 5/bludgeoning, DV60, immunity to cold, skull loss, +4 turn resistance",4,8,10,11,19,-,14,15,17,Any,usually,LE,7    ,MM5,,,,,,,,,,,,,,,,
Skullwyrm,Large,Undead,,20,130,50,,33,11,31,22,Bite +19 (2d8+10 plus 1d8 energy damage),Bite and tail lash 14 (1d8+15 plus 1d8 energy damage),"Breath weapon (as adult dragon), constrict 3d6+15 plus 1d8 energy damage), elemental shaping, energy aura, frightful presence, improved grab, SLAs","CL17, at will - bestow curse, detect good, detect magic, see invisibility, suggestion; 3/day - fog cloud, gust of wind; 1/day - unholy aura","DR 10/bludgeoning and magic, DV60, immunity to cold, keen senses, SR 28, vulnerability to fire, turn resistance +4",6,8,14,31,15,-,13,14,18,Any ,always,Any,17,PoC,,,,,,,,,,,,,,,,
Skum,Medium,Aberration,Aquatic,2,11,20,s40,13,11,12,5,Bite +5 (2d6+4),Bite and 2 claws +0 (1d4+2),Rake 1d6+2,,"Amphibious, DV60",1,1,3,19,13,13,10,10,6,Underground,usually,LE,2    ,MM1,,,,,,,,,,,,,,,,
"Skum, Renegade",Medium,Aberration,"Aquatic, Psionic",2,11,20,s40,17,15,16,5,Bite +5 (2d6+4),Bite and 2 claws +0 (1d4+2) and 2 rakes +0 (1d6+2),PLAs,"ML6, 3/day - claws of the beast (1d6*), know direction and location, defensive precognition (+2 insight bonus*), offensive precognition (+2 insight bonus*)",DV60,1,1,3,18,12,12,11,11,9,Underground,usually,NE,2    ,Web,,,,,,,,,,,,,,,,
Skunk,Small,Animal,,1/4,1,30,,12,12,11,-6,Bite -2 (1d4-2),Same as Attack,Musk,,LLV,2,1,0,6,13,10,1,10,7,Temperate forests,always,NN,1/4,Aldriv,,,,,,,,,,,,,,,,
Skuz,Large,Undead,,11,71,10,s40,21,13,17,12,Slam +7 (1d6+3),2 slams,"Create skuz, drowning grapple, SLAs","CL11, 3/day - animate dead, create water, control water, major image, suggestion","DR 10/bludgeoning, DV60, fluid form, fluidsense, immunity to grapple and trip, spell vulnerability",3,9,8,16,19,-,15,12,14,Any aquatic,always,CE,9    ,352,,,,,,,,,,,,,,,,
Skybleeder,Huge,Aberration,,12,102,40,f80 (avg),22,11,19,25,Claw +16 (2d8+8/19-20),3 claws and 8 tentacles +10 (1d4+4 plus 1d6 acid),"Acid rain, constrict 1d4+4 plus acid, improved grab, SLAs","CL12, at will - flare, shocking grasp, wind wall; 3/day - call lightning, control winds, gust of wind; 1/day - control weather, cloud kill","DV60, immunity to acid, no discernible anatomy, regeneration 5, unnatural mist",8,9,11,26,17,18,14,17,13,Any mountain,usually,NE,12,FF,,,,,,,,,,,,,,,,
Skyfisher,Small,Aberration,,4,18,10,f60 (avg),17,14,14,6,Claw +6 (1d6+3) or bite +6 (1d8+1),2 claws or bite,Improved grab,,"DV60, LLV",1,4,5,16,16,10,13,13,11,Temperate hills,usually,NN,2    ,BoKR,,,,,,,,,,,,,,,,
"Skyfisher, Pernicious",Medium,Outsider,Native,12,78,10,f60 (avg),19,15,14,16,Claw +12 (1d8+11) or bite +12 (1d10+7) (both adj for Pwr Atk),2 claws or bite,"Improved grab, smite good 1/day, SLAs","CL12, 3/day - darkness, poison; 1/day - blasphemy, contagion, desecrate, unholy blight","DR 10/magic, DV60, LLV, immunity to poison, resistance to acid 10, cold 10, electricity 10, and fire 10, SR 22",6,9,10,24,20,14,17,14,13,Temperate hills,always,NE,7    ,BoKR,,,,,,,,,,,,,,,,
Skyshadow,Huge,Construct,Extraplanar,26,209,30,f100 (gd),33,18,27,36,Bite +26 (2d6+9),Bite and 2 claws +24 (1d8+4) and 2 wings +24 (1d8+4),Shadow clutch,,"Blindsight, bound to master, DR 15/adamantine and good, DV60, LLV, resistance to acid 10, cold 10, electricity 10, and fire 10, shadow flight, SR 30, unholy grace",14,20,17,28,22,-,4,16,18,Atropus,always,CE,18,ElderE,,,,,,,,,,,,,,,,
"Slaad, Black",Huge,Outsider,"Chaotic, Extraplanar",29,635,80,,48,14,42,53,Claw +43 (5d8+16) or chaos spittle +33 (20d4),2 claws and 4 tongues +42 (10d4/19-20 chaos touch); or chaos spittle,"Chaos spittle, chaos touch, SLAs, summon slaad, stun, weapon breaker","CL25, at will - animate objects, circle of death, chaos hammer, cloak of chaos, death knell, deeper darkness, dispel law, greater dispel magic, fear, finger of death, fireball, fly, identify, greater invisibility, lightning bolt, magic circle against law, plane shift, power word blind, power word kill, protection from law, se invisibility, shatter, greater teleport, word of chaos; 1/day - implosion, peripety, ruin, spell worm","Alternate form, DR 15/epic and lawful, DV320, FH30, resistance to acid 20, cold 20, electricity 20, fire 20, and sonic 20, telepathy 100ft",30,22,26,42,22,38,29,30,31,Limbo,usually,CN,25,ELH,,,,,,,,,,,,,,,,
"Slaad, Blue",Large,Outsider,"Chaotic, Extraplanar",8,68,30,,20,11,18,18,Claw +13 (2d6+6),4 claws and bite +11 (2d8+3 plus disease),"Slaad fever, SLAs, summon slaad","CL8, at will - hold person, passwall, telekinesis; 1/day - chaos hammer","DV60, FH5, immunity to sonic, resistance to acid 5, cold 5, electricity 5, and fire 5",10,8,4,23,15,19,6,6,10,Limbo,usually,CN,8    ,MM1,,,,,,,,,,,,,,,,
"Slaad, Death",Medium,Outsider,"Chaotic, Extraplanar",15,142,30,,28,16,22,20,Claw +20 (3d6+5 plus stun),2 claws and bite +18 (2d10+2),"Stun, SLAs, summon slaad","CL15, at will - animate objects, chaos hammer, deeper darkness, detect magic, dispel law, fear, finger of death, fireball, fly, identify, invisibility, magic circle against law, see invisibility, shatter; 3/day - circle of death, cloak of chaos, word of chaos; 1/day - implosion, power word blind","Change shape, DR 10/lawful, DV60, FH5, immunity to sonic, resistance to acid 5, cold 5, electricity 5, and fire 5",14,15,13,21,23,21,18,18,18,Limbo,usually,CN,13,MM1,,,,,,,,,,,,,,,,
"Slaad, Gormeel",Large,Outsider,"Extraplanar, Lawful",13,136,40,f60 (avg),26,11,24,24,Bite +20 (2d8+7),Bite and 2 claws +17 (1d6+3),"Breath weapon, SLAs, trample 1d8+10","CL14, at will - detect chaos, detect magic, dispel chaos, protection from chaos, see invisibility; 3/day - confusion, dimension door, order's wrath; 1/day - freedom of movement, mislead, word of law","Alternate form, DR 15/chaotic, DV60, elemental affinity, FH4, scent",14,10,11,25,14,22,13,16,17,Limbo,always,LN,10,306,,,,,,,,,,,,,,,,
"Slaad, Gray",Medium,Outsider,"Chaotic, Extraplanar",10,95,30,,24,13,21,14,Claw +15 (2d4+4),2 claws and bite +12 (2d8+2),"SLAs, summon slaad","CL10, at will - chaos hammer, deeper darkness, detect magic, identify, invisibility, lightning bolt, magic circle against law, see invisibility, shatter; 3/day - animate objects, dispel law, fly; 1/day - power word stun","Change shape, DR 10/lawful, DV60, FH5, immunity to sonic, resistance to acid 5, cold 5, electricity 5, and fire 5",12,10,9,19,17,21,14,14,14,Limbo,usually,CN,10,MM1,,,,,,,,,,,,,,,,
"Slaad, Green",Large,Outsider,"Chaotic, Extraplanar",9,76,30,,23,10,22,19,Claw +14 (1d6+6),2 claws and bite +12 (2d8+3),"SLAs, summon slaad","CL9, at will - chaos hammer, detect magic, detect thoughts, fear, protection from law, see invisibility, shatter; 3/day - dispel law, deeper darkness, fireball","Change shape, DV60, FH5, immunity to sonic, resistance to acid 5, cold 5, electricity 5, and fire 5",10,7,6,23,13,19,10,10,12,Limbo,usually,CN,9    ,MM1,,,,,,,,,,,,,,,,
"Slaad, Mud",Medium,Outsider,"Chaotic, Extraplanar",6,39,30,,16,12,14,9,Bite +9 (2d6+3 plus disease),Bite and 2 claws +7 (1d4+1),"Cringe, disease, sonic screech, summon slaad",,"DV60, FH3, feign death, immunity to sonic, resistance to acid 5, cold 5, electricity 5, and fire 5",7,7,3,17,15,15,6,6,8,Limbo,always,CN,6    ,FF,,,,,,,,,,,,,,,,
"Slaad, Red",Large,Outsider,"Chaotic, Extraplanar",7,52,30,,19,11,17,16,Bite +11 (2d8+5),Bite and 2 claws +9 (1d4+2 plus implant),"Implant, pounce, stunning croak, summon slaad",,"DV60, FH5, immunity to sonic, resistance to acid 5, cold 5, electricity 5, and fire 5",8,7,3,21,15,17,6,6,8,Limbo,usually,CN,7    ,MM1,,,,,,,,,,,,,,,,
"Slaad, White",Large,Outsider,"Chaotic, Extraplanar",24,556,40,,40,17,32,41,Claw +36 (5d6+13) or chaos spittle +31 (8d4),2 claws and bite +34 (2d10+6 plus chaos bite); or chaos spittle,"Chaos spittle, SLAs, summon slaad, stun, weapon breaker","CL21, at will - animate objects, circle of death, chaos hammer, cloak of chaos, deeper darkness, dispel law, greater dispel magic, fear, finger of death, fireball, fly, identify, greater invisibility, magic circle against law, plane shift, power word blind, power word kill, see invisibility, shatter, greater teleport, word of chaos; 1/day - implosion, peripety, ruin","Alternate form, DR 10/epic and lawful, DV60, FH15, resistance to acid 20, cold 20, electricity 20, fire 20, and sonic 20, telepathy 100ft",27,22,22,36,26,37,26,27,27,Limbo,always,CN,21,ELH,,,,,,,,,,,,,,,,
Slake Moth,Large,Aberration,,13,110,30,f40 (avg),22,11,19,20,Claw +15 (2d6+7),2 claws and tongue +13 (1d8+7 plus mind rot),"Hypnotic wings, mind rot",,"Immunity to psionics, impossible bulk",8,6,10,24,14,19,11,11,12,Urban,always,NE,9    ,352,,,,,,,,,,,,,,,,
Slasrath,Large,Aberration,Extraplanar,8,68,10,f50 (prf),17,11,15,15,Sting +10 (2d4+5),Sting and bite +5 (1d6+2),"Poison, wing slash",,DV60,6,4,6,21,14,19,1,10,10,Hades,always,NN,7    ,FF,,,,,,,,,,,,,,,,
Slaughter Wight,Medium,Undead,,18,135,30,,19,15,14,16,Slam +11 (1d8+15/17-20 plus energy drain) (adj for Pwr Atk),Same as Attack,"Create spawn, energy drain",,"Augmented critical, DV60, inescapable craving",6,11,11,24,21,-,11,10,16,Any,always,CE,8    ,LM,,,,,,,,,,,,,,,,
Slaughterpit Gnoll Zombie,Medium,Undead,,4,29,30,,17,9,17,5,Longsword +4 (1d8+3),Longsword +4 (1d8+3) and battle axe +4 (1d8+3),Superior two-weapon fighting,,"DR 5/slashing, single actions only",1,1,4,17,8,-,-,10,1,Any land and underground,always,NE,1    ,286,,,,,,,,,,,,,,,,
Slaughterstone Behemoth,Huge,Construct,Earth,29,199,20,,36,8,36,42,Slam +32 (4d6+13),4 slams,"Dazing blow, thunder step, trample 4d6+19",,"DR 10/adamantine, DV60, LLV, resistance to acid 10, cold 10, electricity 10, and fire 10, tunnel fighting, SR 23",9,9,9,37,11,-,-,10,1,Underground,always,NN,15,MM3,,,,,,,,,,,,,,,,
Slaughterstone Eviscerator,Large,Construct,Earth,15,112,30,,29,9,29,24,+2 adamantine blade +21 (2d8+11/18-20/x3),4 adamantine blades,"Augmented critical, enhanced mobility",,"DR 10/adamantine, DV60, LLV, resistance to acid 10, cold 10, electricity 10, and fire 10, tunnel fighting, SR 20",5,5,5,29,11,-,-,11,1,Underground,always,NN,12,MM3,,,,,,,,,,,,,,,,
Slaver Fungus,Garg.,Plant,,10,125,0,,14,4,14,27,Tendril +11 (2d8+8),4 tendrils,"Fungus minions, improved grab, transforming fungus",,"LLV, tendril regeneration, vulnerability to fire",15,1,3,26,7,26,3,10,3,Any forest,always,NN,10,Web,,,,,,,,,,,,,,,,
Slavering Gorger,Medium,Humanoid,Goblinoid,2,13,30,,15,11,14,4,Claw +4 (1d4+3),2 claws and bite +2 (1d3+1 plus poison),"Jugular swipe, spit poison",,"DV60, scent",2,4,0,17,12,15,9,10,6,Temperate plains,often,CE,3    ,DDen,,,,,,,,,,,,,,,,
Slaymate,Small,Undead,,4,26,20,,16,12,15,-1,Bite +4 (1d3+1 plus pale wasting),Same as Attack,Pale wasting disease,,"DV60, undead pale aura",1,4,5,12,12,-,11,13,15,Any,always,LE,2    ,LM,,,,,,,,,,,,,,,,
Sleeping Blossom Sprites,Dimin.,Fey,Swarm,10,35,10,f40 (prf),17,17,14,-,Swarm (2d6 plus deep slumber),Same as Attack,"Deep slumber, distraction",,"Immune to weapon damage, LLV",3,10,6,4,17,10,8,9,21,Temperate forests,always,NN,5    ,Web,,,,,,,,,,,,,,,,
Slig,Medium,Humanoid,Reptilian,3,16,30,,16,12,14,4,Glaive +4 (1d10+3/x3),Glaive +4 (1d10+2/x3); or bite +4 (1d4+2 plus 1 acid) and 2 claws -1 (1d3+1),Acid spit,,"DV60, resistance to fire 10",2,5,1,14,14,12,13,11,7,Warm hills,usually,LE,2    ,BoKR,,,,,,,,,,,,,,,,
"Slig, Brigand",Medium,Humanoid,Reptilian,13,61,30,,22,13,20,14,+2 guisarme +16 (2d4+9/x3) or bite +14 (1d4+5 plus 1 acid) or light crossbow +11 (1d8/19-20),+2 guisarme +16/+11 (2d4+9/x3); or bite +14 (1d4+5 plus 1 acid) and 2 claws +9 (1d3+2); or light crossbow +11 (1d8/19-20),"Acid spit, sneak attack +5d6",,"DV60, improved evasion, improved uncanny dodge, resistance to fire 10, trap sense +3, trapfinding",5,12,6,20,14,12,13,14,8,Warm hills,usually,LE,12,BoKR,,,,,,,,,,,,,,,,
Sliver,Medium,Outsider,"Chaotic, Extraplanar, Good",3,16,30,f60 (gd),17,17,13,4,-,-,"Moon magic, smite evil 3/day, SLAs, spells (clr3), starfire hands","CL5, at will - dancing lights, daylight, faerie fire, flare, moonbeam, tongues (self only); 3/day - augury, bless, burning hands, detect evil, produce flame; 1/day - prayer","DR 5/evil, DV60, immunity to acid, disease, electricity, fire, light, petrification, and poison, LLV, moonglow, moonshield, pure sight, resistance to cold 10 and sonic 10, SR 15",7,10,7,13,18,13,10,12,15,Arborea,always,CG,5    ,353,,,,,,,,,,,,,,,,
"Snake, Harlequin",Tiny,Animal,,1/4,4,15,"c15, s15",17,15,14,-11,Bite +5 (1 plus poison),Same as Attack,Poison,,Scent,2,5,1,4,17,11,1,12,2,Temperate marshes,always,NN,1/3,SotAC,,,,,,,,,,,,,,,,
"Snake, Reed",Tiny,Animal,,1/4,1,15,c15,18,15,15,-11,Bite +5 (1 plus poison),Same as Attack,Poison,,"LLV, scent",2,5,1,4,17,11,1,12,2,Temperate plains,always,NN,1/2,Serp,,,,,,,,,,,,,,,,
"Snake, Sittik",Tiny,Animal,,1/4,1,15,"c15, s15",15,13,14,-11,Bite +5 (1 plus poison),Same as Attack,Poison,,Scent,2,3,1,4,12,11,1,12,2,Temperate marshes,always,NN,1/3,DDen,,,,,,,,,,,,,,,,
"Snake, Viper, Tiny",Tiny,Animal,,1/4,1,15,"c15, s15",17,15,14,-11,Bite +5 (1 plus poison),Same as Attack,Poison,,Scent,2,5,1,4,17,11,1,12,2,Temperate marshes,always,NN,1/3,MM1,,,,,,,,,,,,,,,,
"Tarsier, Woeful",Tiny,Animal,,1/4,1,15,"c15, s15",14,14,12,-12,Bite +4 (1d3-4),Same as Attack,-,,"LLV, scent",2,4,1,2,15,10,2,12,2,Any,always,NN,1/8,SotAC,,,,,,,,,,,,,,,,
T'Nerec,Tiny,Animal,,1/4,4,15,"c15, s15",14,14,12,-12,Bite +4 (1d3-4),Same as Attack,-,,"LLV, scent",2,4,1,2,15,10,2,12,2,Any,always,NN,1/8,SotAC,,,,,,,,,,,,,,,,
"Snake, Flying",Small,Magical Beast,,1,5,20,"c20, f20 (avg)",17,14,14,-5,Bite +5 (1d3-2 plus 1 acid),Same as Attack,"Acid spit, constrict 1d3-2, improved grab",,Scent,2,5,1,6,17,11,1,12,2,Any forest,usually,NN,1/2,RoF,,,,,,,,,,,,,,,,
Toad,Dimin.,Animal,,1/4,1,5,,15,15,14,-17,-,-,-,,"Amphibious, LLV",2,3,2,1,12,11,1,14,4,Temperate marshes,always,NN,1/10,MM1,,,,,,,,,,,,,,,,
Anemaconda,Huge,Animal,Aquatic,10,115,0,s5,10,9,9,15,Tentacle +6 (1d6 plus poison),8 tentacles,"Constrict 1d6 plus poison, improved grab, poison",,"Blindsense 30ft, DR 10/piercing or slashing, LLV, regeneration",14,8,-2,11,13,24,2,1,3,Warm aquatic,always,NN,6    ,DDen,,,,,,,,,,,,,,,,
"Bat, War",Huge,Animal,,10,95,20,f40 (gd),23,14,17,25,Bite +12 (2d6+10),Same as Attack,-,,"Blindsense 120ft, immunity to desmodu sonic attacks",12,13,9,25,22,21,2,14,7,Underground,always,NN,5    ,MM2,,,,,,,,,,,,,,,,
"Dinosaur, Allosaurus",Huge,Animal,,10,78,50,,14,9,13,22,Bite +12 (2d8+7),Bite and 2 claws +7 (2d4+3),"Improved grab, rake 2d8+3, swallow whole, trample 5d8+10",,"DV60, LLV, scent",10,8,5,24,12,17,2,15,11,Any warm land,always,NN,7    ,MM2,,,,,,,,,,,,,,,,
"Dinosaur, Elasmosaurus",Huge,Animal,,10,111,20,s50,13,10,11,23,Bite +13 (2d8+12),Same as Attack,-,,"LLV, scent",15,9,4,26,14,22,2,13,9,Warm aquatic,always,NN,7    ,MM1,,,,,,,,,,,,,,,,
"Dinosaur, Ichthyosaur",Large,Animal,,10,95,,s50,18,12,12,16,Bite +11 (1d8+7),Same as Attack,-,,"Hold breath, LLV, scent",14,10,4,20,17,20,2,13,9,Warm aquatic,always,NN,6    ,Storm,,,,,,,,,,,,,,,,
"Snake, Tree Python",Medium,Magical Beast,,3,22,20,"c20, s20",16,13,16,6,Bite +6 (1d3+4),Same as Attack,"Constrict 1d3+4, improved grab",,"Chameleon skin, DV60, LLV, scent, spring",4,6,2,17,17,13,10,12,2,Temperate forests,usually,CE,2    ,Serp,,,,,,,,,,,,,,,,
"Dinosaur, Quetzelcoatlus",Huge,Animal,,10,95,20,f100 (pr),17,9,16,23,Bite +13 (2d10+8),Bite and 2 wings +8 (2d6+4),Swallow whole,,"DV60, LLV, scent",12,8,6,26,13,20,2,17,11,Any warm land,always,NN,8    ,MM2,,,,,,,,,,,,,,,,
Glyptodon,Large,Animal,,10,72,20,b5,18,8,18,16,Tail +11 (2d6+5/x3),Tail and bite +6 (1d4+2),"Augmented critical, trample 1d6+7",,"DR 5/piercing, LLV",10,6,8,20,8,17,2,12,7,Cold plains,always,NN,5    ,Frost,,,,,,,,,,,,,,,,
"Lizard, Giant Banded",Huge,Animal,,10,105,20,"c10, s10",13,8,13,24,Bite +14 (2d8+9),Bite and 2 claws +9 (2d6+4 plus poison),"Improved grab, poison",,"LLV, scent",13,3,3,28,10,23,2,10,5,Warm deserts,always,NN,7    ,Sand,,,,,,,,,,,,,,,,
Sea Tiger,Huge,Animal,,10,75,20,s50,19,9,18,19,Bite +9 (2d8+4) or claw +9 (1d6+4),Bite and 2 claws,-,,"Blindsight 100ft, hold breath, LLV",10,8,5,19,13,17,2,14,8,Any aquatic,always,NN,6    ,MM3,,,,,,,,,,,,,,,,
"Shark, Huge",Huge,Animal,Aquatic,10,65,,s60,15,10,13,20,Bite +10 (2d6+7),Same as Attack,-,,"Blindsense 30ft, keen scent",11,9,4,21,15,15,1,12,2,Cold aquatic,always,NN,4    ,MM1,,,,,,,,,,,,,,,,
"Swarm, Pest",Tiny,Animal,Swarm,10,48,15,c10,14,14,12,-,Swarm (2d6 plus wounding),Same as Attack,"Distraction, wounding",,"Half damage from piercing and slashing, LLV, wind vulnerability",8,9,4,4,15,12,2,12,2,Urban,always,NN,5    ,City,,,,,,,,,,,,,,,,
Elephant,Huge,Animal,,11,104,40,,15,8,15,26,Gore +16 (2d8+15),Slam +16 (2d6+10) and 2 stamps +11 (2d6+5); or gore +16 (2d8+15),Trample 2d8+15,,"LLV, scent",12,7,6,30,10,21,2,13,7,Warm plains,always,NN,7    ,MM1,,,,,,,,,,,,,,,,
Needletooth Swarm,Tiny,Animal,Swarm,11,71,40,,19,17,14,-,Swarm (3d6),Same as Attack,"Distraction, wounding",,"Half damage from slashing and piercing, LLV, scent",9,14,4,2,21,15,2,13,2,Warm forests,always,NN,6    ,MM3,,,,,,,,,,,,,,,,
Snake-Dog,Medium,Magical Beast,,3,19,40,s20,16,13,13,5,Bite +4 (1d6+3 plus poison),Same as Attack,"Poison, trip",,Scent,4,6,2,15,17,13,2,12,4,Temperate marshes,always,NN,2    ,Web,,,,,,,,,,,,,,,,
Snowcloak,Large,Aberration,Cold,4,30,20,f60 (avg),17,12,14,9,Tail slap +4 (1d6+2),Tail slap and 2 bites +2 (1d4+1) and 2 wing claws +2 (1d2+2 plus poison),"Poison, SLAs","CL4, at will - blur, obscuring snow; 3/day - dimension door, invisibility, magic missile; 1/day - hypnotic pattern","DV60, immunity to cold, disease, and poison, regeneration 2, vulnerability to fire",4,4,6,14,16,17,11,15,12,Cold hills,usually,NN,4    ,Frost,,,,,,,,,,,,,,,,
Snowcloak,Large,Aberration,Cold,4,30,20,f60 (avg),17,12,14,9,Tail slap +5 (1d6+2),Tail slap and 2 bites +3 (1d4+1) and 2 wing claws +3 (1d2+2),"Poison, SLAs","CL4, at will - blur, obscuring mist; 3/day - invisibility, magic missile; 1/day - hypnotic pattern; CL8, 2/day - dimension door","DV60, immunity to cold, critical hits, and disease, regeneration 2, vulnerability to fire",4,4,6,14,16,17,11,15,12,Any cold,usually,NN,4    ,SM,,,,,,,,,,,,,,,,
Snowflake Ooze,Medium,Ooze,Cold,6,63,15,c5,5,5,5,9,Slam +9 (1d8+7 plus 2d4 cold),Same as Attack,"Cold aura, constrict 1d8+7 plus 2d4 cold, improved grab",,"Airy, blindsight 60ft, immunity to cold, split, vulnerability to fire",7,-3,-3,20,1,20,-,1,1,Cold mountains,always,NN,5    ,MM3,,,,,,,,,,,,,,,,
Soarwhale,Coloss.,Magical Beast,,32,467,,f20 (gd),14,2,14,62,Tail slap +38 (2d6+21),Same as Attack,Breath weapon (paralysis),,"DV60, LLV",27,18,12,39,10,29,1,14,6,Any temperate,always,NN,15,A&EG,,,,,,,,,,,,,,,,
Souleater,Large,Outsider,Evil,8,76,30,,18,10,17,17,Bite +12 (2d6+5),Bite and 2 claws (1d6+2),"Consume soul, soulless aura",,"Telepathy 100ft, vulnerability to turning",11,7,9,20,13,21,10,12,14,Hades,always,NE,7    ,MoI,,,,,,,,,,,,,,,,
Soulspark,Tiny,Outsider,"Incarnum, Native, [alignment subtype]",6,39,20,f30 (prf),19,16,15,-1,Soul blast +13 (1d8+3),Same as Attack,Soul blast,,"Amorphous, DR 5/alignment (opposite its own non-neutral alignment component), essentia pool 6, evasion, incarnum shroud",7,11,6,13,18,15,6,13,17,Any,always,"CN, LN, NG, NE",5    ,MoI,,,,,,,,,,,,,,,,
"Soulspark, Greater",Tiny,Outsider,"Incarnum, Native, [alignment subtype]",8,52,20,f30 (prf),21,17,16,0,Soul blast +16 (1d12+5),Same as Attack,Soul blast,,"Amorphous, DR 10/alignment (opposite its own non-neutral alignment component), essentia pool 8, evasion, incarnum shroud",8,13,7,13,21,15,6,13,21,Any,always,"CN, LN, NG, NE",7    ,MoI,,,,,,,,,,,,,,,,
"Soulspark, Least",Tiny,Outsider,"Incarnum, Native, [alignment subtype]",2,13,20,f30 (prf),14,12,13,-6,Soul blast +5 (1d4+1),Same as Attack,Soul blast,,"Amorphous, DR 1/alignment (opposite its own non-neutral alignment component), essentia pool 2, evasion, incarnum shroud",5,4,4,10,13,15,6,13,13,Any,always,"CN, LN, NG, NE",1    ,MoI,,,,,,,,,,,,,,,,
"Soulspark, Lesser",Tiny,Outsider,"Incarnum, Native, [alignment subtype]",4,26,20,f30 (prf),16,14,14,-4,Soul blast +8 (1d6+2),Same as Attack,Soul blast,,"Amorphous, DR 3/alignment (opposite its own non-neutral alignment component), essentia pool 4, evasion, incarnum shroud",6,8,5,10,15,15,6,13,15,Any,always,"CN, LN, NG, NE",3    ,MoI,,,,,,,,,,,,,,,,
Spark,Dimin.,Fey,Fire,1,3,30,f60 (prf),18,17,15,-15,Slam +0 (1d2-4 plus 1d3 fire),Same as Attack,"Heat, SLAs","CL10, at will - produce flame, pyrotechnics","Flame flit, immunity to fire, SR 10, vulnerability to cold",0,5,2,4,16,11,13,10,12,Any land,usually,CE,1    ,304,,,,,,,,,,,,,,,,
Spark Lasher,Medium,Aberration,,3,16,30,s10,14,11,13,1,Tentacle +3 (3d8 electricity) or bite +3 (1d6-1),Same as Attack,Electricity damage,,"DV60, immunity to electricity",2,4,2,8,13,13,12,8,13,Warm marshes,usually,CE,2    ,MH,,,,,,,,,,,,,,,,
"Spawn of Juiblex, Elder",Garg.,Elemental,"Extraplanar, Water",16,216,40,c30,23,5,23,38,Slam +22 (4d8+14/19-20 plus slimy infestation) or sludge orb +7 (3d8+14 plus slimy infestation),2 slams +22 (4d8+14/19-20 plus slimy infestation) or sludge orb +7/+2/-3 (3d8+14 plus slimy infestation),"Slimy infestation, sludge orb",,"Blindsense 60ft, DR 10/-, DV60, horrific presence, sludge form",19,6,7,39,8,29,8,15,21,Demiplane of Filth (or Underground),always,CE,14,MM5,,,,,,,,,,,,,,,,
